detector,descriptor,#Img,#KptsPerFrame,#KptsPerROI,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,Total ProcessTime
AKAZE,ORB,5,1347,164,130,81.1437,3.12185,0.464291,84.27
AKAZE,ORB,6,1363,173,131,75.0865,3.22903,0.488046,78.32
AKAZE,ORB,7,1331,175,137,84.2266,3.26475,0.574604,87.49
AKAZE,ORB,8,1357,177,135,75.6228,3.17109,0.548349,78.79
AKAZE,ORB,9,1331,179,145,84.5468,3.34798,0.530418,87.89
,,,,,,,,,82.01
AKAZE,FREAK,0,1351,166,0,76.7437,47.7477,0,124.49
AKAZE,FREAK,1,1327,157,126,76.2742,44.2007,0.736599,120.47
AKAZE,FREAK,2,1311,161,129,69.4318,45.2421,0.532942,114.67
AKAZE,FREAK,3,1351,155,127,72.483,42.2764,0.555212,114.76
AKAZE,FREAK,4,1360,163,121,73.8511,41.7401,0.581774,115.59
AKAZE,FREAK,5,1347,164,122,82.2098,41.7212,0.550962,123.93
AKAZE,FREAK,6,1363,173,133,81.2913,42.075,0.643664,123.37
AKAZE,FREAK,7,1331,175,144,84.8064,47.8827,0.803782,132.69
AKAZE,FREAK,8,1357,177,147,81.6943,44.7288,0.575885,126.42
AKAZE,FREAK,9,1331,179,138,82.9866,42.1322,0.633406,125.12
,,,,,,,,,122.15
AKAZE,AKAZE,0,1351,166,0,83.9082,75.9144,0,159.82
AKAZE,AKAZE,1,1327,157,138,89.4651,72.0565,0.547084,161.52
AKAZE,AKAZE,2,1311,161,138,78.5411,67.414,0.579215,145.96
AKAZE,AKAZE,3,1351,155,133,86.3961,66.0218,0.535884,152.42
AKAZE,AKAZE,4,1360,163,127,72.6268,66.9849,0.604264,139.61
AKAZE,AKAZE,5,1347,164,129,76.1363,70.0138,0.738875,146.15
AKAZE,AKAZE,6,1363,173,146,74.1432,60.5071,0.610826,134.65
AKAZE,AKAZE,7,1331,175,147,79.6896,64.3284,0.578029,144.02
AKAZE,AKAZE,8,1357,177,151,77.4536,75.9258,0.640303,153.38
AKAZE,AKAZE,9,1331,179,150,76.0093,74.8585,0.611759,150.87
,,,,,,,,,148.84
SIFT,BRISK,0,1438,138,0,141.433,315.769,0,457.20
SIFT,BRISK,1,1371,132,64,115.712,336.464,0.400286,452.18
SIFT,BRISK,2,1380,124,66,136.933,312.982,0.368703,449.92
SIFT,BRISK,3,1335,137,62,133.081,316.507,0.370132,449.59
SIFT,BRISK,4,1305,134,66,130.844,317.597,0.465398,448.44
SIFT,BRISK,5,1370,140,59,131.84,312.524,0.390283,444.36
SIFT,BRISK,6,1396,137,64,128.877,303.005,0.443268,431.88
SIFT,BRISK,7,1382,148,64,136.657,302.823,0.437778,439.48
SIFT,BRISK,8,1463,159,67,132.229,313.688,0.5078,445.92
SIFT,BRISK,9,1422,137,80,139,320.176,0.466171,459.18
,,,,,,,,,447.81
SIFT,BRIEF,0,1438,138,0,139.148,0.766218,0,139.91
SIFT,BRIEF,1,1371,132,86,130.76,0.768523,0.386834,131.53
SIFT,BRIEF,2,1380,124,78,130.056,0.730776,0.355902,130.79
SIFT,BRIEF,3,1335,137,76,130.368,0.794756,0.365619,131.16
SIFT,BRIEF,4,1305,134,85,137.849,0.757019,0.396743,138.61
SIFT,BRIEF,5,1370,140,69,135.417,0.826545,0.397951,136.24
SIFT,BRIEF,6,1396,137,74,131.12,0.875709,0.387233,132.00
SIFT,BRIEF,7,1382,148,76,140.997,0.790438,0.40519,141.79
SIFT,BRIEF,8,1463,159,70,141.615,0.876464,0.45777,142.49
SIFT,BRIEF,9,1422,137,88,135.413,0.804101,0.43121,136.22
,,,,,,,,,136.07
SIFT,FREAK,0,1438,138,0,136.652,40.7427,0,177.39
SIFT,FREAK,1,1371,132,65,127.111,42.3991,0.414862,169.51
SIFT,FREAK,2,1380,124,72,131.346,44.5737,0.427401,175.92
SIFT,FREAK,3,1335,137,64,133.551,41.4431,0.400358,174.99
SIFT,FREAK,4,1305,134,66,138.671,40.6418,0.489009,179.31
SIFT,FREAK,5,1370,140,59,130.488,40.3504,0.494064,170.84
SIFT,FREAK,6,1396,137,59,127.779,40.0754,0.414492,167.85
SIFT,FREAK,7,1382,148,64,126.467,43.9073,0.486914,170.37
SIFT,FREAK,8,1463,159,65,134.577,41.1191,0.508429,175.70
SIFT,FREAK,9,1422,137,79,131.661,40.5573,0.449546,172.22
,,,,,,,,,173.41
